variable,mean_pre,mean_post,diff,t_stat,df,p_value,conf_low,conf_high
rights_count,1.2033582089552248,1.7734939759036146,0.57,-3.97289531795818,792.7055375281483,7.747328854543095e-5,0.28843835312525107,0.8518331807715285
resp_count,1.3787313432835817,2.1253012048192765,0.747,-8.201165666494155,726.8300538870751,1.0778337437327227e-15,0.56785249462892,0.9252872284424697
kw_count,0.14552238805970036,0.5060240963855417,0.361,-6.775095708837063,523.4199533553877,3.3550989568555736e-11,0.2559706433493726,0.46503277330231013
